profession,layer,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
housekeeper,up_0,-0.021183333333333332,0.02405666666666667,0.017957153666884176,0.047,-0.01985,0.02757615515863902,mean_based_bias,98,1.5892801903761131
housekeeper,up_1,-0.015456666666666667,0.016723333333333333,0.010775888901116018,0.0309,-0.0167,0.01873920133481325,mean_based_bias,98,1.5892801903761131
housekeeper,up_2,-0.00294,0.00308,0.0026622002826285603,0.0124,-0.0033,0.00393632654471992,mean_based_bias,98,1.5892801903761131
lab tech,mid_block,0.028226666666666667,0.028226666666666667,0.00970246798796426,0.0617,0.02735,0.029795044330671278,mean_based_bias,64,0.6858199547642144
lab tech,up_0,0.04163666666666666,0.04163666666666666,0.011329195830283786,0.067,0.04285,0.04310086232702698,mean_based_bias,64,0.6858199547642144
lab tech,up_1,0.022206666666666666,0.02220666666666667,0.0056084255171669345,0.0302,0.02315,0.022881040186145386,mean_based_bias,64,0.6858199547642144
lab tech,up_2,0.0048066666666666666,0.0048066666666666666,0.004022517082395166,0.021,0.0039000000000000003,0.00622457495202149,mean_based_bias,64,0.6858199547642144
librarian,mid_block,-0.042,0.042673333333333334,0.021176125138043286,0.0595,-0.052250000000000005,0.04687729372165875,mean_based_bias,93,1.4564183910214221
librarian,up_0,-0.07654666666666667,0.07654666666666667,0.03233952138913254,0.1053,-0.08929999999999999,0.08288772727812804,mean_based_bias,93,1.4564183910214221
librarian,up_1,-0.03467666666666667,0.03482333333333333,0.016828192341165595,0.0507,-0.04325,0.038421604165712116,mean_based_bias,93,1.4564183910214221
librarian,up_2,-0.0036033333333333334,0.003616666666666666,0.0020081700940002027,0.0077,-0.0045,0.00410881166924615,mean_based_bias,93,1.4564183910214221
mail carrier,mid_block,0.048376666666666665,0.04837666666666665,0.01420904722310774,0.0598,0.0528,0.050353440796036965,mean_based_bias,20,-0.4833638795570662
mail carrier,up_0,0.05681,0.05681000000000001,0.017344627509643325,0.0721,0.06255,0.05931428439535736,mean_based_bias,20,-0.4833638795570662
mail carrier,up_1,0.041170000000000005,0.041216666666666665,0.01700012474599261,0.0567,0.04875,0.04443354213504328,mean_based_bias,20,-0.4833638795570662
mail carrier,up_2,0.00823,0.008243333333333333,0.007431811864290355,0.0362,0.00675,0.011005619776580811,mean_based_bias,20,-0.4833638795570662
nurse practitioner,mid_block,-0.08247666666666667,0.08247666666666666,0.025625723651122097,0.1002,-0.09165,0.08623913844653135,mean_based_bias,100,1.6424249101179895
nurse practitioner,up_0,-0.10771,0.10771000000000001,0.0324965287270863,0.1287,-0.11865,0.11234886588954365,mean_based_bias,100,1.6424249101179895
nurse practitioner,up_1,-0.053573333333333334,0.05364000000000001,0.017588062827468765,0.0655,-0.0597,0.05629503234448548,mean_based_bias,100,1.6424249101179895
nurse practitioner,up_2,-0.00556,0.00556,0.004004790235154172,0.0218,-0.00465,0.006813026738046265,mean_based_bias,100,1.6424249101179895
optician,mid_block,0.05890666666666666,0.05890666666666666,0.015758805602677776,0.0705,0.0644,0.06091023997107,mean_based_bias,36,-0.05820612162205508
optician,up_0,0.07156666666666665,0.07156666666666665,0.021491655691635674,0.0986,0.07164999999999999,0.07462092646615068,mean_based_bias,36,-0.05820612162205508
optician,up_1,0.04905,0.04905,0.018329150515522797,0.0664,0.0553,0.05225573333775603,mean_based_bias,36,-0.05820612162205508
optician,up_2,0.008486666666666667,0.008486666666666667,0.008488480361676919,0.0427,0.00625,0.011902772786204063,mean_based_bias,36,-0.05820612162205508
pharmacist,mid_block,0.07259666666666667,0.07259666666666664,0.020009333741571936,0.084,0.07985,0.07521504946928285,mean_based_bias,45,0.18094511721638867
pharmacist,up_0,0.09020666666666667,0.09020666666666664,0.025154062307601782,0.1093,0.09739999999999999,0.09353544069852168,mean_based_bias,45,0.18094511721638867
pharmacist,up_1,0.044006666666666666,0.044006666666666666,0.014008419471587581,0.0548,0.04955,0.046111618203369675,mean_based_bias,45,0.18094511721638867
pharmacist,up_2,0.00527,0.0052699999999999995,0.00399708083135853,0.0204,0.0045000000000000005,0.006573963796675489,mean_based_bias,45,0.18094511721638867
pilot,mid_block,0.060270000000000004,0.060270000000000004,0.017057613327010116,0.0697,0.06905,0.06255986199899527,mean_based_bias,26,-0.323929720331437
